treatment,replicate,seed_number,disease_rating,root_length,round,Dummy
E,2,6,4,0.00,1,0
E,3,1,1,48.00,1,1
E,3,2,2,85.00,1,1
E,3,3,2,53.00,1,1
E,3,4,3,35.00,1,1
E,3,5,2,90.00,1,1
E,3,6,1,62.00,1,1
E,1,1,2,69.20,2,1
E,1,2,2,61.30,2,1
E,1,3,3,50.20,2,1
E,1,4,2,59.40,2,1
E,1,5,3,38.00,2,1
E,1,6,3,60.80,2,1
E,2,1,2,65.80,2,1
E,2,2,3,48.90,2,1
E,2,3,2,50.80,2,1
E,2,4,3,72.70,2,1
E,2,5,3,57.50,2,1
E,2,6,3,35.50,2,1
E,3,1,2,69.50,2,1
E,3,2,2,35.70,2,1
E,3,3,3,81.00,2,1
E,3,4,2,46.10,2,1
E,3,5,4,0.00,2,0
E,3,6,4,0.00,2,0
E,1,1,4,24.98,3,1
E,1,2,3,43.28,3,1
E,1,3,4,0.00,3,0
E,1,4,4,0.00,3,0
E,1,5,4,17.41,3,1
E,1,6,3,55.52,3,1
E,2,1,4,23.51,3,1
E,2,2,4,0.00,3,0
E,2,3,4,0.00,3,0
E,2,4,4,0.00,3,0
E,2,5,4,13.82,3,1
E,2,6,4,32.64,3,1
E,3,1,4,25.77,3,1
E,3,2,4,0.00,3,0
E,3,3,4,16.43,3,1
E,3,4,4,0.00,3,0
E,3,5,4,16.13,3,1
E,3,6,4,13.64,3,1
G,1,1,2,84.00,1,1
G,1,2,3,76.00,1,1
G,1,3,2,68.00,1,1
G,1,4,3,71.00,1,1
G,1,5,2,52.00,1,1
G,1,6,2,51.00,1,1
G,2,1,2,54.00,1,1
G,2,2,4,0.00,1,0
G,2,3,4,0.00,1,0
G,2,4,4,0.00,1,0
G,2,5,4,0.00,1,0
G,2,6,3,34.00,1,1
G,3,1,3,8.00,1,0
G,3,2,2,20.00,1,1
G,3,3,3,36.00,1,1
G,3,4,3,50.00,1,1
G,3,5,2,54.00,1,1
G,3,6,2,78.00,1,1
G,1,1,3,69.20,2,1
G,1,2,2,63.20,2,1
G,1,3,3,99.60,2,1
G,1,4,2,90.20,2,1
G,1,5,3,56.30,2,1
G,1,6,3,49.90,2,1
G,2,1,3,49.50,2,1
G,2,2,2,63.70,2,1
G,2,3,3,28.70,2,1
G,2,4,3,18.30,2,1
G,2,5,2,79.80,2,1
G,2,6,2,73.20,2,1
G,3,1,2,44.70,2,1
G,3,2,2,64.60,2,1
G,3,3,2,25.10,2,1
G,3,4,2,40.20,2,1
G,3,5,2,18.20,2,1
G,3,6,2,44.20,2,1
G,1,1,4,0.00,3,0
G,1,2,4,0.00,3,0
G,1,3,4,0.00,3,0
G,1,4,4,0.00,3,0
G,1,5,4,0.00,3,0
G,1,6,4,13.17,3,1
G,2,1,4,0.00,3,0
G,2,2,4,33.50,3,1
G,2,3,4,13.60,3,1
G,2,4,4,0.00,3,0
G,2,5,4,0.00,3,0
G,2,6,4,0.00,3,0
G,3,1,4,16.03,3,1
G,3,2,4,48.37,3,1
G,3,3,2,70.68,3,1
G,3,4,4,0.00,3,0
G,3,5,3,27.93,3,1
G,3,6,2,71.69,3,1
L,1,1,2,68.00,1,1
L,1,2,4,8.00,1,0
L,1,3,3,46.00,1,1
L,1,4,3,37.00,1,1
L,1,5,3,60.00,1,1
L,1,6,3,65.00,1,1
L,2,1,3,50.00,1,1
L,2,2,3,50.00,1,1
L,2,3,3,90.00,1,1
L,2,4,2,57.00,1,1
L,2,5,2,76.00,1,1
L,2,6,4,0.00,1,0
L,3,1,3,50.00,1,1
L,3,2,2,75.00,1,1
L,3,3,3,60.00,1,1
L,3,4,3,65.00,1,1
L,3,5,3,51.00,1,1
L,3,6,4,9.00,1,0
L,1,1,3,68.10,2,1
L,1,2,2,51.40,2,1
L,1,3,2,33.30,2,1
L,1,4,3,53.90,2,1
L,1,5,2,52.00,2,1
L,1,6,2,71.10,2,1
L,2,1,4,29.30,2,1
L,2,2,2,57.40,2,1
L,2,3,2,37.70,2,1
L,2,4,4,0.00,2,0
L,2,5,3,29.80,2,1
L,2,6,4,0.00,2,0
L,3,1,3,57.50,2,1
L,3,2,2,53.20,2,1
L,3,3,2,67.10,2,1
L,3,4,2,73.50,2,1
L,3,5,2,82.20,2,1
L,3,6,4,10.10,2,1
L,1,1,4,0.00,3,0
L,1,2,4,0.00,3,0
L,1,3,4,0.00,3,0
L,1,4,3,51.72,3,1
L,1,5,4,15.82,3,1
L,1,6,4,9.73,3,0
L,2,1,4,68.51,3,1
L,2,2,3,19.73,3,1
L,2,3,2,43.60,3,1
L,2,4,4,0.00,3,0
L,2,5,2,9.34,3,0
L,2,6,4,36.08,3,1
L,3,1,4,31.69,3,1
L,3,2,4,0.00,3,0
L,3,3,4,16.70,3,1
L,3,4,4,16.25,3,1
L,3,5,4,0.00,3,0
L,3,6,4,0.00,3,0
M,1,1,2,78.00,1,1
M,1,2,1,40.00,1,1
M,1,3,2,38.00,1,1
M,1,4,4,7.00,1,0
M,1,5,2,63.00,1,1
M,1,6,3,60.00,1,1
M,2,1,4,0.00,1,0
M,2,2,4,9.00,1,0
M,2,3,4,0.00,1,0
M,2,4,4,4.00,1,0
M,2,5,4,5.00,1,0
M,2,6,4,10.00,1,0
M,3,1,2,63.00,1,1
M,3,2,3,66.00,1,1
M,3,3,2,67.00,1,1
M,3,4,3,5.00,1,0
M,3,5,1,62.00,1,1
M,3,6,4,0.00,1,0
M,1,1,1,76.90,2,1
M,1,2,4,0.00,2,0
M,1,3,3,52.50,2,1
M,1,4,2,62.10,2,1
M,1,5,2,61.30,2,1
M,1,6,2,66.50,2,1
M,2,1,2,56.90,2,1
M,2,2,2,90.00,2,1
M,2,3,2,39.90,2,1
M,2,4,2,40.40,2,1
M,2,5,4,14.70,2,1
M,2,6,2,45.80,2,1
M,3,1,2,55.10,2,1
M,3,2,4,28.20,2,1
M,3,3,2,43.70,2,1
M,3,4,2,41.20,2,1
M,3,5,2,45.10,2,1
M,3,6,4,15.60,2,1
M,1,1,3,25.84,3,1
M,1,2,4,20.86,3,1
M,1,3,4,0.00,3,0
M,1,4,4,14.06,3,1
M,1,5,4,18.15,3,1
M,1,6,4,0.00,3,0
M,2,1,4,20.19,3,1
M,2,2,3,53.84,3,1
M,2,3,4,16.72,3,1
M,2,4,3,29.22,3,1
M,2,5,4,0.00,3,0
M,2,6,4,0.00,3,0
M,3,1,4,0.00,3,0
M,3,2,2,66.39,3,1
M,3,3,4,0.00,3,0
M,3,4,3,45.86,3,1
M,3,5,2,58.45,3,1
M,3,6,3,66.86,3,1
P,1,1,3,57.00,1,1
P,1,2,3,33.00,1,1
P,1,3,2,42.00,1,1
P,1,4,2,65.00,1,1
P,1,5,4,23.00,1,1
P,1,6,1,63.00,1,1
P,2,1,1,66.00,1,1
P,2,2,2,85.00,1,1
P,2,3,3,63.00,1,1
P,2,4,1,66.00,1,1
P,2,5,2,73.00,1,1
P,2,6,1,62.00,1,1
P,3,1,2,65.00,1,1
P,3,2,4,35.00,1,1
P,3,3,1,0.00,1,0
P,3,4,2,67.00,1,1
P,3,5,3,44.00,1,1
P,3,6,4,0.00,1,0
P,1,1,2,7.30,2,0
P,1,2,2,48.60,2,1
P,1,3,2,26.20,2,1
P,1,4,2,67.20,2,1
P,1,5,2,64.70,2,1
P,1,6,2,17.10,2,1
P,2,1,3,42.20,2,1
P,2,2,3,33.30,2,1
P,2,3,3,31.70,2,1
P,2,4,2,51.70,2,1
P,2,5,3,67.70,2,1
P,2,6,2,60.40,2,1
P,3,1,3,39.00,2,1
P,3,2,2,25.70,2,1
P,3,3,2,73.40,2,1
P,3,4,3,75.20,2,1
P,3,5,2,27.90,2,1
P,3,6,1,42.90,2,1
P,1,1,4,0.00,3,0
P,1,2,4,0.00,3,0
P,1,3,4,0.00,3,0
P,1,4,4,0.00,3,0
P,1,5,4,9.62,3,0
P,1,6,4,0.00,3,0
P,2,1,4,0.00,3,0
P,2,2,4,0.00,3,0
P,2,3,3,0.00,3,0
P,2,4,3,0.00,3,0
P,2,5,4,14.07,3,1
P,2,6,4,0.00,3,0
P,3,1,4,16.45,3,1
P,3,2,4,0.00,3,0
P,3,3,4,0.00,3,0
P,3,4,4,0.00,3,0
P,3,5,4,26.83,3,1
P,3,6,3,27.67,3,1
X,1,1,2,60.00,1,1
X,1,2,3,66.00,1,1
X,1,3,2,60.00,1,1
X,1,4,4,3.00,1,0
X,1,5,4,10.00,1,0
X,1,6,4,20.00,1,1
X,2,1,2,37.00,1,1
X,2,2,4,0.00,1,0
X,2,3,4,0.00,1,0
X,2,4,2,49.00,1,1
X,2,5,1,69.00,1,1
X,2,6,1,57.00,1,1
X,3,1,1,55.00,1,1
X,3,2,2,72.00,1,1
X,3,3,1,69.00,1,1
X,3,4,3,40.00,1,1
X,3,5,4,18.00,1,1
X,3,6,2,72.00,1,1
X,1,1,2,71.20,2,1
X,1,2,2,47.80,2,1
X,1,3,2,38.00,2,1
X,1,4,2,49.90,2,1
X,1,5,2,69.10,2,1
X,1,6,4,0.00,2,0
X,2,1,4,12.40,2,1
X,2,2,3,39.30,2,1
X,2,3,3,34.40,2,1
X,2,4,2,62.80,2,1
X,2,5,2,83.20,2,1
X,2,6,2,61.10,2,1
X,3,1,2,52.40,2,1
X,3,2,4,23.40,2,1
X,3,3,2,47.40,2,1
X,3,4,2,54.30,2,1
X,3,5,4,11.40,2,1
X,3,6,4,0.00,2,0
X,1,1,4,0.00,3,0
X,1,2,4,12.51,3,1
X,1,3,4,0.00,3,0
X,1,4,4,0.00,3,0
X,1,5,4,0.00,3,0
X,1,6,4,0.00,3,0
X,2,1,4,0.00,3,0
X,2,2,4,0.00,3,0
X,2,3,4,12.78,3,1
X,2,4,4,0.00,3,0
X,2,5,4,0.00,3,0
X,2,6,4,0.00,3,0
X,3,1,4,26.56,3,1
X,3,2,4,0.00,3,0
X,3,3,4,35.30,3,1
X,3,4,4,0.00,3,0
X,3,5,4,0.00,3,0
X,3,6,4,0.00,3,0
